Label;Value;cod_veiculo
Acura;1;1
Agrale;2;1
Alfa Romeo;3;1
AM Gen;4;1
Asia Motors;5;1
ASTON MARTIN;189;1
Audi;6;1
Baby;207;1
BMW;7;1
BRM;8;1
Bugre;123;1
BYD;238;1
CAB Motors;236;1
Cadillac;10;1
Caoa Chery;161;1
CBT Jipe;11;1
CHANA;136;1
CHANGAN;182;1
Chrysler;12;1
Citroën;13;1
Cross Lander;14;1
D2D ;241;1
Daewoo;15;1
Daihatsu;16;1
Dodge;17;1
EFFA;147;1
Engesa;18;1
Envemo;19;1
Ferrari;20;1
Fiat;21;1
Fibravan;149;1
Ford;22;1
FOTON;190;1
Fyber;170;1
GEELY;199;1
GM - Chevrolet;23;1
GREAT WALL;153;1
Gurgel;24;1
GWM;240;1
HAFEI;152;1
HITECH ELECTRIC;214;1
Honda;25;1
Hyundai;26;1
Isuzu;27;1
IVECO;208;1
JAC;177;1
Jaguar;28;1
Jeep;29;1
JINBEI;154;1
JPX;30;1
Kia Motors;31;1
Lada;32;1
LAMBORGHINI;171;1
Land Rover;33;1
Lexus;34;1
LIFAN;168;1
LOBINI;127;1
Lotus;35;1
Mahindra;140;1
Maserati;36;1
Matra;37;1
Mazda;38;1
Mclaren;211;1
Mercedes-Benz;39;1
Mercury;40;1
MG;167;1
MINI;156;1
Mitsubishi;41;1
Miura;42;1
Nissan;43;1
Peugeot;44;1
Plymouth;45;1
Pontiac;46;1
Porsche;47;1
RAM;185;1
RELY;186;1
Renault;48;1
Rolls-Royce;195;1
Rover;49;1
Saab;50;1
Saturn;51;1
Seat;52;1
SHINERAY;183;1
smart;157;1
SSANGYONG;125;1
Subaru;54;1
Suzuki;55;1
TAC;165;1
Toyota;56;1
Troller;57;1
Volvo;58;1
VW - VolksWagen;59;1
Wake;163;1
Walk;120;1
ADLY;60;2
AGRALE;61;2
AMAZONAS;131;2
APRILIA;62;2
ATALA;63;2
AVELLOZ;216;2
BAJAJ;64;2
BEE;205;2
Benelli;162;2
BETA;65;2
BIMOTA;66;2
BMW;67;2
BRANDY;68;2
BRAVA;130;2
BRP;150;2
BUELL;117;2
BUENO;155;2
BULL;212;2
byCristo;69;2
CAGIVA;70;2
CALOI;71;2
DAELIM;72;2
DAFRA;145;2
DAYANG;137;2
DAYUN;142;2
DERBI;73;2
DUCATI;74;2
EMME;75;2
FOX;132;2
FUSCO MOTOSEGURA;209;2
FYM;128;2
GARINNI;143;2
GAS GAS;76;2
GREEN;133;2
HAOBAO;138;2
HAOJUE;203;2
HARLEY-DAVIDSON;77;2
HARTFORD;78;2
HERO;79;2
HONDA;80;2
HUSABERG;81;2
HUSQVARNA;82;2
INDIAN;202;2
IROS;158;2
JIAPENG VOLCANO;141;2
JOHNNYPAG;174;2
JONNY;151;2
KAHENA;129;2
KASINSKI;118;2
KAWASAKI;85;2
KTM;87;2
KYMCO;204;2
LANDUM;159;2
L'AQUILA;88;2
LAVRALE;89;2
LERIVO;139;2
LIFAN;178;2
Lon-V;148;2
MAGRÃO TRICICLOS;175;2
Malaguti;146;2
MIZA;126;2
MOTO GUZZI;90;2
MOTOCAR;201;2
MOTORINO;200;2
MRX;160;2
MV AGUSTA;91;2
MVK;92;2
NIU;239;2
ORCA;93;2
PEGASSI;164;2
PEUGEOT;94;2
PIAGGIO;95;2
POLARIS;210;2
REGAL RAPTOR;173;2
RIGUETE;198;2
Royal Enfield;192;2
SANYANG;96;2
SHINERAY;134;2
SIAMOTO;97;2
SUNDOWN;98;2
SUPER SOCO;237;2
SUZUKI;99;2
TARGOS;176;2
TIGER;187;2
TRAXX;119;2
TRIUMPH;100;2
VENTO;180;2
VOLTZ;215;2
WATTS;243;2
WUYANG;135;2
YAMAHA;101;2
ZONTES;242;2
AGRALE;102;3
BEPOBUS;206;3
CHEVROLET;103;3
CICCOBUS;121;3
DAF;197;3
EFFA-JMC;179;3
FIAT;104;3
FORD;105;3
FOTON;191;3
GMC;106;3
HYUNDAI;181;3
IVECO;122;3
JAC;188;3
MAN;184;3
MARCOPOLO;108;3
MASCARELLO;196;3
MAXIBUS;194;3
MERCEDES-BENZ;109;3
NAVISTAR;110;3
NEOBUS;111;3
PUMA-ALFA;112;3
SAAB-SCANIA;113;3
SCANIA;114;3
SHACMAN;193;3
SINOTRUK;166;3
VOLKSWAGEN;115;3
VOLVO;116;3
WALKBUS;144;3
